[30, 116]
(42, 3)
(105, 7) | (87, 17)
(71, 0, 1, 1)
(6, 1, 1, 1)
(71, 1, 1, 1)
(3, 2, 1, 1)
(6, 2, 1, 1)
(24, 2, 1, 1)
(72, 2, 1, 1)
(73, 2, 1, 1)
(74, 2, 1, 1)
(75, 2, 1, 1)
(76, 2, 1, 1)
(77, 2, 1, 1)
(78, 2, 1, 1)
(79, 2, 1, 1)
(80, 2, 1, 1)
(81, 2, 1, 1)
(83, 2, 1, 1)
(84, 2, 1, 1)
(85, 2, 1, 1)
(86, 2, 1, 1)
(87, 2, 1, 1)
(88, 2, 1, 1)
(89, 2, 1, 1)
(90, 2, 1, 1)
(91, 2, 1, 1)
(92, 2, 1, 1)
(93, 2, 1, 1)
(94, 2, 1, 1)
(95, 2, 1, 1)
(96, 2, 1, 1)
(97, 2, 1, 1)
(98, 2, 1, 1)
(99, 2, 1, 1)
(100, 2, 1, 1)
(101, 2, 1, 1)
(102, 2, 1, 1)
(103, 2, 1, 1)
(104, 2, 1, 1)
(105, 2, 1, 1)
(106, 2, 1, 1)
(107, 2, 1, 1)
(108, 2, 1, 1)
(109, 2, 1, 1)
(110, 2, 1, 1)
(111, 2, 1, 1)
(112, 2, 1, 1)
(113, 2, 1, 1)
(114, 2, 1, 1)
(3, 3, 1, 1)
(6, 3, 1, 1)
(24, 3, 1, 1)
(71, 3, 1, 1)
(96, 3, 1, 1)
(103, 3, 1, 1)
(113, 3, 1, 1)
(6, 4, 1, 1)
(71, 4, 1, 1)
(96, 4, 1, 1)
(103, 4, 1, 1)
(113, 4, 1, 1)
(3, 5, 1, 1)
(6, 5, 1, 1)
(7, 5, 1, 1)
(8, 5, 1, 1)
(9, 5, 1, 1)
(10, 5, 1, 1)
(11, 5, 1, 1)
(12, 5, 1, 1)
(13, 5, 1, 1)
(14, 5, 1, 1)
(15, 5, 1, 1)
(16, 5, 1, 1)
(17, 5, 1, 1)
(18, 5, 1, 1)
(19, 5, 1, 1)
(20, 5, 1, 1)
(21, 5, 1, 1)
(22, 5, 1, 1)
(23, 5, 1, 1)
(24, 5, 1, 1)
(25, 5, 1, 1)
(26, 5, 1, 1)
(27, 5, 1, 1)
(28, 5, 1, 1)
(29, 5, 1, 1)
(30, 5, 1, 1)
(31, 5, 1, 1)
(32, 5, 1, 1)
(33, 5, 1, 1)
(34, 5, 1, 1)
(35, 5, 1, 1)
(36, 5, 1, 1)
(37, 5, 1, 1)
(38, 5, 1, 1)
(39, 5, 1, 1)
(40, 5, 1, 1)
(42, 5, 1, 1)
(43, 5, 1, 1)
(44, 5, 1, 1)
(45, 5, 1, 1)
(46, 5, 1, 1)
(47, 5, 1, 1)
(48, 5, 1, 1)
